Review Title,Review description,No of stars,Review given by,Date of review
Wonderful invention.,"I have been using an early model kindle for about eight years with Amazon Prime, and enjoyed every page. However at night, always had to read with the bedlight on. I decided to give the Fire HD 8 a try as it is about the same size as the kindle. I purchased it mainly for reading, (I'm retired) and  I cannot believe just how versatile this technology is. I have just been overseas and was so pleased to be able to keep up to date with emails. What a bonus that is. So much more to discover. Reading at night with the auto blue light cancelling, linked to sunset and sun rise, automatically. Just WOW!!!!!  This is such a wonderful invention, and just the right size for me. Battery life is amazing. I Love this Fire HD 8",5.0,Baustin,11 June 2019
"Great Value, but Amazon could have made it better!","I got this, because Amazon offered a fantastic deal on this! They brought the price down from 90 to 60£, for that price range it is a bargain, so for me it was an impulse purchase.The Pros, excellent value for moneyU can use it as a Kindle, and use it for netflix, prime video, browsing etcHD screenSupports SD card, just keep all ur photos and videos on that card and unburden other devicesConsWhile the screen is HD, it is not as good a quality screen as i was hoping, my old Nexus 7 2012 has a better screenBut the biggest con is battery life is very mediocre and no support for fast chargeHere is hoping Amazon makes a better model for this in the yrs to come",3.0,Deen Sheikh,25 January 2020
Superb value for money,"I wasnt expecting much for the price. I'm glad to say this tablet (Fire HD 8 16gb) surprised me.Purchased for my daughter 8yo as her ageing ipod microphone had packed in so she couldn't video call her friends.In the past she has used an iPad mini and an iPad 2nd gen. This doesn't have the same power but for what shes using it for it doesn't matter. Shes very happy with it.The screen is fine. The bezel size is fine. Sound is a little flaky but that's common in most tablets. It's not the smoothest switching between apps but it's not been an issue. I haven't looked into battery life as shes obsessed with having it on charge. I'm not a fan of the Amazon launcher, I can change it if needed but shes not really bothered so I'll most likely leave it. Oh and it has a microsd slot if she ever needs more storage.In short, value for money wise its excellent.I got the special offers version and tbh I haven't noticed them once.If they were in stock at the min for the same price I'd probably get another one.",5.0,R Williams,5 May 2020
"Pay £80 for adverts, adverts and more adverts.","The adverts are infuriating. I can't think of any other physical product where you spend all that money just to be bombarded with adverts. Adverts when you log on. Adverts every time you wake it up. It's just make the whole tablet annoying to use. As a result, I very rarely do use it.The tablet itself is ok and would be a 4 star product considering the price. It's certainly no ipad. The layout of the icons isn't as intuitive. The buttons are quite cumbersome and have to be pressed quite hard to work. But given the price it's ok.But he most annoying thing, and I'm not sure I've mentioned this, is the adverts. I certainly wouldn't have bought this had I known about them and won't be buying another amazon product if they do this again.",2.0,riverkey,6 November 2019
Can't install many games or Family Link.,"Doesn't have Google Play, so my daughter can't download the games friends are all playing.She has paid for some games on her Google account, but now Amazon wants to be paid for the same games.Doesn't support Family Link, so can't manage time spent, etc like we can with other kids phones and tablets.Basically, one unhappy daughter, thinks she got a crummy gift. Thanks for that Amazon.There's a reason Amazon tablets are cheap: they are crippled by Amazon to force you to use their system. I wish I'd spent a bit more and got a 'normal' Android tablet that can do everything.",2.0,Susannah,3 November 2018
The tablet is fine but....,"Watch out what you get because there are hidden traps. The special offers, I did not mind all the publicity but they use up data and if you are on a data cup then you have a problem. So I paid £10 to get rid of them, only to find out that all the apps autimatically update and again more data that goes when you do not want to. So then again I spend time to figure out how to turn off all these automatic updates (not very simple)... and then I found out that the device automatically updates itself without asking for your permission. So I am out of data again for the 3rd time this month, while before I would not use it all up. I asked if it is possible to turn off Automatic System updated and umbelievably so - it is not possible! This device is a dictatorship!",2.0,LBLA,15 January 2020
CHEAP and Nearly USELESS!,"I got the Fire HD 8 Tablet with Alexa, 8"" HD (16GB) on £49.99 deal from Amazon (used it for 2 month, and even I returned it)1. TOO SLOW.  2. USES SOME WEIRD AMAZON OPERATING SYSTEM (which is rubbish). 3. HORRIBLE AMAZON APPS.4.  LITTLE FREEDOM TO ACCESS & OPEN SD CARD (your own books/files) and to get them too work.5.  COMES FULL OF ANNOYING AMAZON ""POP-UP ADS""Only Good as a cheap, small movie player.  Otherwise USELESS",1.0,Music Man,23 January 2019
Reliability not so good,"Easy to set up and get access to all my content from previous kindles. This is my 5th kindle and 2nd Fire, so you could say I’m pretty much an expert with the brand. I mainly use it as a reader and an easy access to my music in conjunction with Alexa.Now the downside:After about six months it starts to get glitchy accessing the bookstore and navigating the menu, often jumping from one menu to another without warning. Then it gets stroppy regarding the memory card I’ve installed often complaining about incorrect formatting. Finally, the screen cracks of its own accord despite the screen protector and protective case. Not the first time this has happened I might add!! Of course, this happens 4 weeks outside the warranty. Amazon no longer repair kindles and all they were able to offer was a 15% discount on a new one.Impression of Amazon takes a nose dive, frustration increases proportionally.",2.0,Boz,26 February 2020
Can't Believe They Managed To Improve It!,"Love it! This is the 2nd kindle I have had, my son had another make of tablet but preferred my kindle so I kind of lost that one but my lovely Dad went out and bought me a brand new kindle fire 8 hd. I was happy with my older one but couldn't believe how they had managed to improve it.  The battery lasts a lot longer and the volume buttons on the side are a god send.  Excellent product, well it must be good if my techno son prefers my old kindle to his much newer tablet and I'm chuffed to bits with my new tablet.  Thanks for the excellent bit of kit amazon.",5.0,Ms. Lorraine M. Moore,24 August 2019
Recommended.,"I've used a lot of tablets to date and the Fire HD 8 (8th gen) represents great value for money, considering the fact that I purchased it on the Black Friday sales too.Whilst it is a little underwhelming for 3D stuff it really shines on all other fronts and does everything you ask of it seamlessly once updated and setup.Great tablet for about the 6th of the cost of the other major brands out there. You get what you pay for sure, but in this case you get a well rounded tablet experience for not a lot of money.Recommended.",5.0,Mobile Amusements,29 November 2019
Dont buy if you want full control of your tablet pc locked to amazon,"Dont buy if you want control of your own tablet Locked into Amazon cant sign into my google account without giving amazon full access to my emails. FULL of adverts pop ups , not what you think your going to get , waiting to get it rooted to remove all the amazon stuff. Very infuriating using with popups and limited usage. Ok if you buy everything off amazon read all their books and watch all their films . If you want full control over your tablet then dont buy it get an alternative.",2.0,Retrosheep,12 March 2019
Brilliant quality tablet - but has problems,"I have no problem recommending this fire tablet. For the price, the quality is outstanding. Yes, it's tied to Amazon, but I have no problem with that as there are ways of getting around loading Google Playstore, so you can have a brilliant Android tablet at a stupid price.  Buy it, you won't regret it!Update at 15 months after purchase: Wifi connection keeps dropping out, even though we have a solid BT router that still connects with all our other devices. I have to keep turning off wifi on the tablet and turning it back on again to get it to re-connect. On this basis, after such a relatively short time span, I can't now recommend Amazon tablets and won't be buying anymore in the future. That old adage applies that "" you get what you pay for "".",2.0,G Chamberlain,19 April 2020
Disappointed in performance,"I purchased this to replace another Fire Kindle which the battery just gave up charging after 3 years.  I am very disappointed in this one's performance, I have contacted Amazon couple of times , reset it to factory settings , and still it under performs, the transition from page to page is jolted, stopping, sticking, having to reboot in order to clear the blockage.  I did the research before I bought it but feel it is not up to standard. The other one was fast, smooth, no problems except battery died.I would like it changed for another up to date model, but that is another story for review later.",3.0,Hazel Russell,21 October 2019
Could be better.,"The hardware and durability are of a very good quality just like previous amazon tablets we have owned. Like those, this one has good potential as a comfortable everyday device. However, in stock form, for those that like to customize their devices, this firmware is a nightmare!The lock screen ads are to be fair, normal for amazon and can be unlocked for a small fee. The real issues are a launcher that you can't change, updates that go ahead despite being set to not auto update followed by a complete disregard for previous user settings and constant nags to register...We buy many thousands of pounds worth of goods from Amazon each year and are generally very pleased with the service received. I just hope that they see the light and choose to at least make the customer think that they have a degree of freedom!",3.0,bob james,9 April 2020
"Quite decent for the price, but poor battery life after a very short while.","A decent tablet for its price range. Quite slow in doing what a tablet should do, but again, price appropriate.Sadly the battery life is a big let down. When new I could charge it once and not look at it for a week and I’d still have 80% left. Sadly today I charge it fully and if I don’t use it, within a week the battery has completely died. So u have remember to turn it off when you’re done with it. Hibernation seems to use as much juice as being on full time. I’d recommend if you’re on a budget, but would look to the bog boys if you can afford them.",2.0,Steve F,5 April 2021
Great product for about £45 as a black Friday deal,"Great piece of kit for the price particularly as I got a month's free amazon prime thrown in and so was able to use Prime perks on my iMacPC etc. It's worth getting hold of the ""Kindle Fire HD 8 and 10 with Alexa User Guide"" as a Kindle free download to avoid having problems working Alexa. You can download e-mails, surf the net, listen to radio broadcasts and perform a whole host of other things. I got the HD 8 which seemed a good deal and it put a Micro SD card to increase memory and purchased a decent case. I haven't tried taking photos but I have downloaded a load of photos from my PC onto Amazon photos so I can have them with me provided I have access to the internet. SO far, so good...",5.0,Martin Beckett,6 December 2019
awful start-up sound,"This tablet is perfectly adequate for my needs which are, Kindle, browsing internet, few small games.The camera isn't a lot to write home about.What I really hate about it is the sound it makes when you switch on and there doesn't seem any way to mute it - very annoying.I've tried asking a question and have had a lots of suggestions none of which work.  In fact in settings for this tabletturning off the notification volume is not an option which is strange I can only presume it has not been programmed properly in the first place.  Makes me wonder what else does not work properly.",3.0,Mr. R. Case,27 September 2019
Reasonable tablet for the price,"If your going to pay 80 quid for a tablet then you cant expect alot.However for browsing the internet and a bit of amazon prime video / netflix you cant complain.What lets it down for me is the basic amazon app store which doesnt have access to any banking apps and the fact that it isnt true android software, compared to how clean your phone homescreen is this is just a mass of amazon advertising loaded with loads of amazon apps that you cant remove from the homescreen, let aloan delete.I ended up downloading the apk for the proper Google play store which surprisingly the aps seem to work ok and bundling all the apps into folders to try and tidy thescreen a little.If u want to shop amazon, watch amazon and do a bit of browsing its ok but hard to recommend.Dissappointed really as if you buy online it doesn't really come across as an amazon loss leader to push its prime services but basically thats what it is. Anyone jumping of an android phone dont expect the same sort of interaction as it just isn't there.",3.0,PAUL  C,5 September 2019
I love it,If you got this tablet at £79.99 then you got a bargain. If you paid less then it's the best money you have ever spent with Amazon. My very old IPad is well past its sell by date and I replaced it with the Fire HD 8. I can't say just how good this tablet is for the money but I'm really impressed with the quality and sound.If you are a prime member then you get all the benefits like music and kindle as well as prime video.What else can I say other than thanks Amazon I love it.,5.0,T. KELLY,6 December 2019
Small reduction in Android functionality means big reduction in utility,"If you want decent tablet functionality, do not buy this item. This item was a present from my wife to replace my existing Android tablet which had ceased to work properly. The Fire HD has a cut-down Android operating system. Unfortunately that makes it incompatible with my already-paid for Android Apps previously sourced from Google Play - it would be bad enough having to pay for them again but not being able to access them at all is pants. Not only that, but for some of the Apps I use most, Amazon Apps Store does not have an equivalent I could buy instead, except at a much inflated price. Out of curiosity,  is the inability of the Fire to interact with the Google Play Store a consequence of reduced functionality, or has Amazon deliberately ""locked out"" Google Play Store?  A second and worse issue is that when trying to access Amazon my previously registered e-mail address was not even recognised - the system then set up an unusable e-mail address for me and apparently the only way I can remove it is by de-registering the device or doing a factory reset; who is supposed to be in charge here, the customer or the provider? I now no longer know for certain what state my Amazon account settings are in - e-bay is starting to look inviting. No doubt the Fire is useful for playing mickey mouse games, listening to pop or watching vacuous Youtube and Netflix casts, but as a proper tablet it leaves an awful lot to be desired - so much so that I have repaired my old tablet and now use that again; when it finally packs up I shall get a proper Android tablet. As this item was a present, I cannot even take it back and get a decent machine, so it will spend the rest of its days in a drawer.",1.0,J Dogg,26 January 2019
Why did I wait so long to update my original Kindle fire????????????,I have had my original kindle fire for years but was having trouble connecting to the internet & charging. I had been so nervous updating as I was worried I would lose so much on my original kindle.Now I wish I had done it earlier!!! So easy to update to my new kindle from the old. Literally took few minutes and the Kindle talks you through what to do. Even me who is technically pretty illiterate. The screen is clear and the touch screen works really well. I've downloaded things from I Player. I'm absolutely delighted. Charges overnight then have plenty of battery to use all day.,5.0,juliekh,20 May 2019
Great Screen and Sound,Mostly playing my Amazon Music.Netflix.  Will probably watch Prime Video when I subscribe again.It's sturdy and the sound is great for this size tablet. Screen is also good.,5.0,2busy,3 November 2018
Needs Access Format Change,"Due to a misunderstanding on my part, this new/replacement Kindle was smaller than that it replaced.However. as I only use it for reading ebooks, it fulfils its purpose.  I find it annoying that when staring up I am presented with a hard sell of a game or something similar which cannot be swiped away but has to be accessed,followed by two additional swipes before accessing the required book.  On my earlier Kindles, one swipe removed the opening hard sell, going immediately onto the last page of the last book read.Please revert to the original format.",4.0,Derek W,27 August 2019
"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Red - with Special Offers","I already had an older version of the Fire 8 and was sad when it died on me.  As this was the only way to keep in contact with my US family I quickly bought another one.  This is the same type of idea as the previous one but getting both a slot to put an SD card into it, and of course Alexa.  I am not particularly worried about Alexa (take her or leave her I say), but no doubt will use this facility one day.  Very nice to have the SD card facility though.  On the whole I am very pleased with it and I think it seems to hold more books than the last version.  Would recommend",5.0,Zelda,18 March 2019
"Good tablet, but limited","I bought this as it was a good price, but as other reviews have said it isn't compatible with anything that's not purchased through Amazon. I'm glad I elected not to have promotions because I'm already bombarded with recommendations and everything about it is geared to making you buy more stuff from Amazon. I haven't even been able to use my anti virus application on it (not compatible) but I can buy another one from Amazon!I wanted to use this as a reader and ""work"" tablet but it's just too limited. I'm pleased with access to Prime and when I do want to make purchases, of course it's great, but I don't need the games. If I had the choice again I would save up for a couple more months and get a Galaxy tablet or ipad.",3.0,Erica,8 September 2019
Fire HD 8 great screen size and superb picture quality,"I love the fact that the screen is so much bigger than my old Kindle Fire 7, but the overall size is not much different and the weight is near enough the same so it's still easy to carry about.  I use it mainly for reading, and have found the blue light is great for reading late at night as the screen is not so bright/glaring to look at.  I do also play some games and use the internet quite a bit.  I've also watched a little bit of live sport and occasionally looked at Prime videos and the picture quality is superb.  Would definitely recommend the new Fire 8 to anyone thinking of buying a new kindle or upgrading one.",5.0,Miss Alison,7 February 2019
Excellent budget tablet let down by forced adverts,"Bought this tablet for our daughter for Christmas as it was relatively cheap and would allow her to play simple games, watch netflix, prime and iPlayer.My only gripe with it is that I bought the one with 'Special Offers' which is effectively Amazon's way of trying to get more revenue by advertisements on your tablet as soon as you turn it on. They simply aren't special offers, they are adverts and this is what I have the issue with. I resent this and I resent having to pay £10 to have the adverts removed. I think this is pure greed and when I've tried to get them to remove it for free, they won't.So although this is a lovely quality tablet for the price and has relatively good levels of spec for a budget tablet, I think I should be able to decide whether I want adverts or not, not Amazon. I've bought the tablet and therefore own it, must I now be forced to view the adverts that they deem appropriate, or should I pay £10 to have them removed. Clearly they acknowledge that it is an annoyance simply by offering their removal for £10.Pretty disgusting if you ask me.",3.0,N Sturman,30 December 2018
Fine as an e-reader. Useless as a tablet.,"I bought this because it was well-reviewed and cost less than it would’ve done to get my iPad mini repaired or replaced.I’ve used this for a few months now and found it maddeningly awful.The screen isn’t responsive enough: what should be one single tap is often a tap, then a harder tap, then an angrier swearier tap-tap-tap-TAP. It’s also less responsive to a finger-touch than a stylus, which is (a) inconvenient, having to make sure you’ve got a stylus handy, and (b) old-fashioned, having to use a separate tool to have any kind of success.The processor has a tendency to be really sluggish: it’s like being back on dialup waiting for it to do things sometimes.Similarly the speed it takes to realise the direction you’re holding your tablet and correct the screen display isn’t great, maybe 1-2 seconds, which might not sound much but it’s far from the immediate response you should expect.Also, several times I’ve had an error message that some of the Amazon Prime Video content isn’t available. It’s bizarre to have problems accessing Amazon’s video content on Amazon’s video app on Amazon’s tablet, when I’ve never had this issue on a non-Amazon device.This is absolutely fine as an e-reader or if you’ve never used a tablet before, so if you’re just looking for a Kindle that does a little bit more, or if you’re completely new to tablets, then this will be fine for you. Personally, I regret wasting money on this when it could’ve gone towards a far superior device.",1.0,Ms C.,16 May 2019
Fire Tablet,"I searched for ages for a replacement for my now ancient much loved fire kindle and have now found the perfect replacement - small and light - more functionality than the kindle but all good stuff.  Very easy to set up and everything eg books purchased and photos of my cats have all come through instantly.Very happy!  Excellent battery life, too.",5.0,Sarah Keighley,11 February 2020
"Doe,s all you need it to do,","I got  this tablet  for myself after buying 2 for the kids  and I m  really happy with them all  , it does  lots of things I wasnt expecting the Alexa  add is great very happy with this product  great sale price  , would highly recommend  and certainly buy again  .",5.0,Amazon Customer,15 January 2020
I am still waiting for my refund on kindle 10 purchased and returned months ago,"This kindle  works perfectly,however I have not received a refund for the faulty  kindle 10 it replaced which I returned months ago.  Please sort this out.  I am a pensioner and cannot afford to sit on the phone at £3.50 per minute.I spend a lot of money with Amazon and am very disappointed.",1.0,Eileen T,7 April 2019
Excellent piece of kit.,Had the original Fire HD for mainly reading books but also used as tablet and was well pleased with it. Decided to upgrade to the latest 8 for the the same use but needed quicker for Internet and the bonus with the 8 is you can add to the memory with SD card so keeping the on board memory from filling up. Have installed 64g card and very pleased with results. Slightly different ways to navigate menus etc but fairly intuitive.Over all very pleased so far hence 5 stars. Bought on black Friday so good discount.,5.0,Paul Clifton,7 December 2018
Worst tablet I've ever owned,"1) Super slow 2) unecessary changes to the standard android UI ""just to be different"" makes simple configuration take twice as long 3) bombards you with adverts you cant turn off 4) worst of all the wifi chip in this things is atrocious. I've got super-fast enterprise-grad wifi (multiple APs on 2.4Ghz & 5Ghz) every other device on my network including super-cheap IOT devices work perfectly. This thing can barely keep a connection and even when it does it's like going back to dial-up.",1.0,quiffhanger,16 June 2019
"Love Fire tablets but this one, no way.","I usually always pay the extra for a Fire tablet as we've never had a problem with 1 before. However, after this one breaking after nearly 1 year & finding out that what was happening was a common problem with these models. I won't buy another one. Hopeless.",1.0,Dave Palmer,14 May 2020
It's ok for what I need,"The new kindle seems too get really hot doesn't seem too hold the power as well as my last one did at the beginning ,things arnt added so easily either .Wish there was the option of getting your batteries replaced rather than offering you a 10% discount off a new one when it stops chargong",4.0,CAROLE,26 March 2019
fire hd-8 tablet,"A really great tablet ,best one I've had.Books are more simple to get,and everything on it is a lot easier to understand.Well worth getting.",5.0,Patricia Hopkin,18 October 2018
Nice quality,"So far it does a great job. Didn't want Alexa so switched it off. Good little book reader. Surfs really well. For the price of £50 quid what more could you ask for. A few years ago a 7 inch Nexus cost me £200. The adverts don't bother me, if that keeps the price down so be it. Could be a nice present for someone too.",5.0,Shuggy,5 December 2018
Easy to set up and use.,I bought this as a replacement for my fire tablet that just packed up working. I paid a bit more to get the one without ads.As soon as I logged on with my Wi-Fi password it recognised me and transferred everything over from my old tablet. It was so easy! I was up and running straight away!,5.0,mrs c a green,8 February 2021
Just don't do it.,I knew I was selling my soul to amazon but wow. £10 so my screen saver isn't adverts!The app store is limited and you have to use an external download site if you want anything decent.Does work well though I'll give it that. I haven't had any problems watching videos or using apps. Could be a wee bit more user friendly but it's not inoperable.By a tablet though. Keep your soul.,1.0,Nukkua,31 January 2019
"Bought when my 7"" Kindle went kaput.","I bought this as a replacement for my beloved 7"" Kindle which i had bought a few years ago for £40. This was bigger and £70 but otherwise the same. I actually found the 7"" a better size for my hands and to fit into a small bag. It has adverts but you can swiftly swipe this away. Everything else is great about it.",4.0,Katkin,28 January 2019
Excellent product,Excellent product. Bought for my Grandparents to use as their older Fire tablet gave up during lockdown. They don’t use it to its full potential but for the time being it is keeping us all connected via video chats. Quick delivery and price was great.,5.0,Claire,17 May 2020
no Google  play store,"Like this product,it's fast and has plenty  of  storage.lovely clear screen.the reason  for  3 stars is because the apps I use aren't  on it. Finding it really hard to download  Google  play store,as this was purchased  from qvc ,might be returning  it.",3.0,gel,12 January 2019
Good Replacement for Fire 7,"Bought this as a replacement for my son's Fire 7 which he had used to death! Having a bigger screen is definately an 'upgrade' - perfect for watching stuff on Amazon video and playing games. It was a Christmas present so only in use for a few weeks, but so far so good!",4.0,Silvergirlracer,26 January 2020
Poor in several ways,"Surprisingly heavy, and really slow to load. Very locked down, so hard to get the apps you really want (instead of the proxies Amazon tries to foist on you). Battery discharges within a couple of days without use, So although the screen display is very sharp, it's really pretty poor.",2.0,JM in Surrey,11 January 2020
Love it love it,My latest kindle... everything copied over from the last one effortlessly. It's lovely to hold and use.Only problem is having an extra Alexa in the room!! (They both answer questions often differently!) Otherwise my favourite electronic item. :),5.0,PO,19 February 2020
Great little device!,"Absolutely love my kindle, I use it purely for reading and catching up on the latest dramas, radio stations, but no social media! The screen quality is great, battery lasts for ages and its really convenient to carry around with you.The only ""problem"" I've had is it can be a little slow, but it's not got huge capacity so I would expect this anyway.Overall, big thumbs up!",5.0,Sam,30 January 2020
Does what I want.,"I bought this to upgrade from my hdx7 which I dropped and broke the screen. Some of the glitches on the hdx7 are fixed on this one but some apps have vanished, presumably out of date. I've not tried Alexa. One drawback - it is a bit heavier than my old one. I like the idea of adding a memory card for when I fill it up.",4.0,Jan,23 January 2019
Disappointed,"I was looking forward to getting my Fire HD 8 during Prime Week as i can never get a hold of the other tablets in the household but this was going to be mine. I have to say that overall i am disappointed. Its mainly a few small things which have led to an overall poor experience. First thing is it is a bit slow, have been used to an ipad mini which despite its age is much faster than the Fire HD. I cant install Google Chrome as the web browser and you cannot even import the bookmarks. And i didn't realise at the time but i bought the tablet with special offers. Sounds good? No it means you get adverts on the lock screen and  have to pay £10 to get rid of them. I am probably being a bit harsh giving the tablet 2 stars but just wanted Amazon to register how i feel.",2.0,Fraser,9 August 2019
"Good product if on a budget - subsidised by amazon advertising - that’s also the downside though ,","Dislike the adverts and prioritisation of amazon products on the home page .For the price though a good product , probably subsidised by the free advertising !Bought for an 80 year old parent who got on well with it - would have been easier for him if I’d been able to set up all the Apps he uses at the top of the screen rather than Amazons apps",3.0,slr,28 December 2018
Easy to set up online within minutes.,"Love the size, ease of use, includes all my previous purchases of books and CD's,  love Alexa!!",5.0,Arizonapie2012,28 October 2018
"Excellent, would be better with google play store or similar","Fantastic product, regardless of the price tag. It doesn’t feel cheap in the slightest and I’m really glad I went for one of these over an iPad. Only minor complaint is the apps - whilst there are the majority of best known apps available, there’s two or three google ones that I wish I had on here (official google drive app, google earth, OS Maps) as I wanted to use the tablet predominantly for route planning. There are unofficial work arounds though and some unofficial versions of the apps that work fine. Other than that, can’t rate it highly enough.",5.0,Andy B,30 June 2019
Land functions well,I bought this 8 inch fire to replace an older version. This new one is half the weight and performs tasks much faster. The home page is the same standard as all fires. Good value for money. My family now has 8 fires between us.,5.0,Mr. A. J. Gregory,11 October 2018
great tablet,"I got my kindle 8"" with the recharging stand from elsewhere and I love it .No need to plug it into a charger when the stand will charge it for you and it allows you to keep it switched on and use it as your alarm clock without worrying about the battery running down .",5.0,orchid,28 July 2019
Fitting the micro Sd not as easy as in earlier models,I had to purchase a new micro sd card as it wouldn't accept the old one and fitting it wasnt easy kept popping out have actually had to place sellotape over it to keep card in. Apart from that am pleased with it as gave my husband the old one. Only nigggles as with all Fire tablets is you can't transfer files with a cable from a pc and you can't get apps from google play.,4.0,Pearl B,16 January 2019
What can i say best £60 spent ever,"I had this for maybe 3 months, and I'm changing the review..Loved it first.now it is the.  slowest device ever, day time the screen is almost impossible to see, on full brightness.typing is slow.. I know it is cheap, but still it's money wasted I through at the wall in frustration when it was so slow and needed to get something done",3.0,Anonymous,27 December 2018
Unbeatable value,"For the price, this is a stunning tablet.  Sure, more powerful and sleek tablets are available, but for MUCH higher prices.In terms of delivering good speed, picture, sound, and features, this pretty much covers every aspect you need a tablet to, and all for £60.Within 10 minutes of turning it on for the first time I had the google play store installed using easy instructions found online, instantly removing most of the limitations of the device (out of the packet it can only access amazon's app store).An iPad may be more desirable, more powerful, but for the difference in price this is a huge win for Amazon.",5.0,The Mancalorian,15 February 2019
Love it,"I brought this tablet for my daughter who wanted an ipad (which is expensive).. One of the best features I love about this table is that it can have users, I made a user account for my daughter and she was only allowed to access the apps I downloaded for her, she can't go on settings: Only the admin, that's me.",5.0,Noora,5 October 2019
Will not Sync with my PC,I can't get the new fire HD 8 to sync with my computer. I even had one of your engineers attempt to sync with my PC. She did achieve it after a long period of attempts but as soon as |I logged off and logged back on it would no longer sync to a PC. I also think that my  fire 7 is a better product and I had no problems syncing it  to my computer. I also found that I preferred the fir 7 shape to the Fire HD 8. As a consequence the Fire HD 8 is now languishing in a drawer and I am again using the Fire HD 7.,2.0,Old Blue,30 January 2019
Excellent item but heavy to cart around,"This was a replacement for my elderly Kindle. It's a wonderful item, does everything a much more expensive tablet would do. My only gripe is that it's so heavy to carry in my bag - so it's not really useable as a straightforward little Kindle!",4.0,morleygirl,19 May 2019
Pop Up's are driving me mad!!!,"The tablet itself is excellent, so quick compared to my Kindle 6 which had all but stopped working. I love the fact that it has expandable memory which means I will never run out of space again. However, the pop-up's are driving me mad and I really don't see why we should have to pay to stop them!",4.0,MW1,4 December 2018
Best value tablet,"The 8 inch HD screen fits the gap nicely between my large laptop and mobile phone. Great portability and ideal for internet whilst travelling.  Fast start-up, so I can read my emails and get a weather report in seconds and before I even get out of bed!",5.0,DG,4 June 2019
Book library,I bought the fire for the Kindle to read books for which it is excellent once I got used to the page turning element.The tablet parts to the fire are a bonus as I have exclusive use of it rather than wait for the iPad to become free.I do find that the page turning is a bit too sensitive but no doubt I will get used to this.,5.0,Brian,17 September 2019
Crippled android operating system.,Only bought this to use with Kindle but it is preloaded with Irritating crap. The last update was terrible. Spend a little more and get a device which doesn't run an a crippled android system. CRAP! YOU HAVE BEEN WARNED!,1.0,Stephen Laverack,18 April 2020
But apart from that everything else is great. Fire 10 is my choice,Screen isn’t bright enough speakers arnt  loud enough. But apart from that everything else is great. Fire 10 is my choice,3.0,Les Lewis,15 October 2018
Great tablet for price point,This is an amazing tablet for the price (£44.99). I love using it while watching TV etc as it’s a perfect size. It will do the majority of day to day activities and it’s possible to install Google Play Store for a wider range of apps (see YouTube). I own several tablets including iPad Pro but I find myself picking this up a lot. Screen isn’t as nice as retina displays and battery life is less than average but can’t complain for the price point.,5.0,Philip O'Reilly,13 May 2020
Happy HD 8 Tablet owner,"I am so happy with my Fire Tablet, it is so much better than I thought it would be.  Having previously had an Apple iPad that had started to work very slowly, I bought it with a gift voucher and so glad I did.  I would recommend that if you are thinking of getting one, do so.",5.0,Susan S.,22 August 2019
Good size screen,"Although I haven't used Alexa yet, it's interesting that it's included. If I do use it, I don't expect to use it a lot. I had a 7inch before & the slightly larger screen gives a better display without being too large to hold comfortably.",5.0,JanM,23 September 2019
Amazon centric,"Do not buy this product if you rely on Google - it is Amazon centric for all searches. I particularly wanted to be able to access Google maps and it will not, I contacted Amazon customer services who confirmed that Google maps would not be available on it. Returning item.",1.0,Jeanjeanie,25 February 2019
So easy to use,Got this fire to replace the old laptop it's like driving a Ferrari instead of a ford cheers 😀,5.0,david weetman,9 October 2018
A bit disappointed,I bought the memory card with it as it was recommended but when you are downloading of Amazon- it only let's you download a few programs- which kinds defeats the purpose as I hmgot it for plane journeys & long car journeys & cant seem to download the YouTube app,3.0,Amazon_Mammy,23 May 2020
NOT COMPATABLE WITH MY BT INTERNET HOME WIFI!!!,"After three hours trying alone and a one and a half hour step by step guidance with a Kindle Expert Customer Adviser we discovered that the Fire HD8 was not compatable with my BT Home Hub. We tried updates, rebooting and resetting the Factory Settings but it still would not allow me to connect with my WIFI.The Customer Adviser was so patient, understanding and really did try to resolve the problem. Unfortunately I am going to have to continue to use my six year old Kindle Fire HD Tablet which is now very much out of date :(",1.0,Nicky Smith,11 February 2019
"Good VFM, bulkier than more expensive equivalents.  I wouldn't wish to carry around, but fine fo","Works fine, good VFM, BUT I wish to have no notification sounds so I set this to silent..... however my device doesn't believe me and keeps switching them on. So I set them to silent again, and after a few hours my device switches them in again.  So I switch them off again, and guess what.... yes my device switches sound notifications on again. Repeat. Repeat.Does this happen with everyone else's too?  Or do I have a rogue device?",4.0,jules101,13 June 2019
AVOID AVOID AVOID AVOID AVOID,"I bought this thinking it was a reasonably priced tablet, but having used it briefly it is being returned. It's sole purpose is to sell you Amazon products and apps. Buy an Android tablet and save yourself the inconvenience of buying and then returning one of these.",1.0,al,30 August 2019
Takes too long to charge,Takes too long to charge,1.0,ranjeet,19 November 2018
a lifesaver for visually impaired,"i am visually  impaired and bought the fire so that I could enlarge everything  I need to, which the paperwhite did not allow.I found it difficult to read the booklist on the papewhite because the print is so small.  i would prefer to not have my homescreen filled with icons that i dont use, and I dont like the advertising, just want to read and choose what i want to read in the kindle store. Otherwise kindle is a blessing for a booklover who cant read regular books anymore...it is a lifesaver",4.0,Shirley Joubert,30 September 2019
